PK,WorkId,Year,Week000,MonthDay,shiftArrange,punchInTime,punchOutTime,overApplyR,leaveApplyR
1,EG1,2021,W010,2月28日 (日),,,,,
2,EG1,2021,W010,3月1日 (一),,08:25,17:33,,
3,EG1,2021,W010,3月2日 (二),8:30~17:30,08:26,17:32,,
4,EG1,2021,W010,3月3日 (三),8:30~17:30,08:20,17:40,,
5,EG1,2021,W010,3月4日 (四),8:30~17:30,08:28,17:33,,
6,EG1,2021,W010,3月5日 (五),8:30~17:30,08:10,21:33,17:30~21:30,
7,EG1,2021,W010,3月6日 (六),,,,,
8,EG1,2021,W011,3月7日 (日),,,,,
9,EG1,2021,W011,3月8日 (一),,,,,
10,EG1,2021,W011,3月9日 (二),8:30~17:30,08:25,17:33,,
11,EG1,2021,W011,3月10日 (三),8:30~17:30,08:26,17:32,,
12,EG1,2021,W011,3月11日 (四),8:30~17:30,08:20,17:40,,
13,EG1,2021,W011,3月12日 (五),8:30~17:30,08:28,17:33,,
14,EG1,2021,W011,3月13日 (六),,08:10,21:33,08:30~17:30,
15,EG1,2021,W012,3月14日 (日),,,,,
16,EG1,2021,W012,3月15日 (一),8:30~17:30,08:25,17:33,,
17,EG1,2021,W012,3月16日 (二),8:30~17:30,08:26,17:32,,
18,EG1,2021,W012,3月17日 (三),8:30~17:30,08:20,17:40,,
19,EG1,2021,W012,3月18日 (四),8:30~17:30,08:28,17:33,,
20,EG1,2021,W012,3月19日 (五),8:30~17:30,08:10,17:39,,
21,EG1,2021,W012,3月20日 (六),,,,,
22,EG1,2021,W013,3月21日 (日),,,,,
23,EG1,2021,W013,3月22日 (一),8:30~17:30,08:25,17:33,,
24,EG1,2021,W013,3月23日 (二),8:30~17:30,08:26,17:32,,
25,EG1,2021,W013,3月24日 (三),8:30~17:30,08:20,17:40,,
26,EG1,2021,W013,3月25日 (四),8:30~17:30,08:28,17:33,,
27,EG1,2021,W013,3月26日 (五),8:30~17:30,08:10,17:39,,
28,EG1,2021,W013,3月27日 (六),,,,,
29,EG1,2021,W014,3月28日 (日),,,,,
30,EG1,2021,W014,3月29日 (一),8:30~17:30,08:25,17:33,,
31,EG1,2021,W014,3月30日 (二),8:30~17:30,08:26,17:32,,
32,EG1,2021,W014,3月31日 (三),8:30~17:30,08:20,17:40,,
33,EG1,2021,W014,4月1日 (四),8:30~17:30,08:28,17:33,,
34,EG1,2021,W014,4月2日 (五),,,,,
35,EG1,2021,W014,4月3日 (六),,,,,
36,EG1,2021,W015,4月4日 (日),,,,,
37,EG1,2021,W015,4月5日 (一),,,,,
38,EG1,2021,W015,4月6日 (二),8:30~17:30,08:25,17:33,,
39,EG1,2021,W015,4月7日 (三),8:30~17:30,08:26,17:32,,
40,EG1,2021,W015,4月8日 (四),8:30~17:30,08:20,17:40,,
41,EG1,2021,W015,4月9日 (五),8:30~17:30,08:28,17:33,,
42,EG1,2021,W015,4月10日 (六),,,,,
43,EG1,2021,W016,4月11日 (日),,,,,
44,EG1,2021,W016,4月12日 (一),8:30~17:30,08:25,17:33,,
45,EG1,2021,W016,4月13日 (二),8:30~17:30,08:26,17:32,,
46,EG1,2021,W016,4月14日 (三),8:30~17:30,08:20,17:40,,
47,EG1,2021,W016,4月15日 (四),8:30~17:30,08:28,17:33,,
48,EG1,2021,W016,4月16日 (五),8:30~17:30,08:10,17:39,,
49,EG1,2021,W016,4月17日 (六),,,,,
50,EG1,2021,W017,4月18日 (日),,,,,
51,EG1,2021,W017,4月19日 (一),8:30~17:30,08:25,17:33,,
52,EG1,2021,W017,4月20日 (二),8:30~17:30,08:26,17:32,,
53,EG1,2021,W017,4月21日 (三),8:30~17:30,08:20,17:40,,
54,EG1,2021,W017,4月22日 (四),8:30~17:30,08:28,17:33,,
55,EG1,2021,W017,4月23日 (五),8:30~17:30,08:10,17:39,,
56,EG1,2021,W017,4月24日 (六),,,,,
57,EG1,2021,W018,4月25日 (日),,,,,
58,EG1,2021,W018,4月26日 (一),8:30~17:30,08:25,17:33,,
59,EG1,2021,W018,4月27日 (二),8:30~17:30,08:26,17:32,,
60,EG1,2021,W018,4月28日 (三),8:30~17:30,08:20,17:40,,
61,EG1,2021,W018,4月29日 (四),8:30~17:30,08:28,17:33,,
62,EG1,2021,W018,4月30日 (五),,08:10,17:39,,
63,EG1,2021,W018,5月1日 (六),,,,,
64,EG1,2021,W019,5月2日 (日),,,,,
65,EG1,2021,W019,5月3日 (一),8:30~17:30,08:25,17:33,,
66,EG1,2021,W019,5月4日 (二),8:30~17:30,08:26,17:32,,
67,EG1,2021,W019,5月5日 (三),8:30~17:30,08:20,17:40,,
68,EG1,2021,W019,5月6日 (四),8:30~17:30,08:28,17:33,,
69,EG1,2021,W019,5月7日 (五),8:30~17:30,08:10,17:39,,
70,EG1,2021,W019,5月8日 (六),,,,,
71,EG1,2021,W020,5月9日 (日),,,,,
72,EG1,2021,W020,5月10日 (一),8:30~17:30,08:25,17:33,,
73,EG1,2021,W020,5月11日 (二),8:30~17:30,08:26,17:32,,
74,EG1,2021,W020,5月12日 (三),8:30~17:30,08:20,17:40,,
75,EG1,2021,W020,5月13日 (四),8:30~17:30,08:28,17:33,,
76,EG1,2021,W020,5月14日 (五),8:30~17:30,08:10,17:39,,
77,EG1,2021,W020,5月15日 (六),,,,,
78,EG1,2021,W021,5月16日 (日),,08:21,17:40,,08:30~17:30
79,EG1,2021,W021,5月17日 (一),8:30~17:30,08:25,17:33,,
80,EG1,2021,W021,5月18日 (二),8:30~17:30,08:26,17:32,,
81,EG1,2021,W021,5月19日 (三),8:30~17:30,,,,08:30~17:30
82,EG1,2021,W021,5月20日 (四),8:30~17:30,08:28,21:33,17:30~21:30,
83,EG1,2021,W021,5月21日 (五),8:30~17:30,08:10,17:39,,
84,EG1,2021,W021,5月22日 (六),,,,,
85,EG1,2021,W022,5月23日 (日),,08:10,17:39,08:30~17:30,
86,EG1,2021,W022,5月24日 (一),8:30~17:30,08:25,17:33,,
87,EG1,2021,W022,5月25日 (二),8:30~17:30,08:26,,,
88,EG1,2021,W022,5月26日 (三),8:30~17:30,,,,
89,EG1,2021,W022,5月27日 (四),8:30~17:30,,,,
90,EG1,2021,W022,5月28日 (五),8:30~17:30,,,,
91,EG1,2021,W022,5月29日 (六),,,,,
92,EG2,2021,W010,2月28日 (日),,,,,
93,EG2,2021,W010,3月1日 (一),,08:25,17:33,,
94,EG2,2021,W010,3月2日 (二),8:30~17:30,08:26,17:32,,
95,EG2,2021,W010,3月3日 (三),8:30~17:30,08:20,17:40,,
96,EG2,2021,W010,3月4日 (四),8:30~17:30,08:28,17:33,,
97,EG2,2021,W010,3月5日 (五),8:30~17:30,08:10,21:33,17:30~21:30,
98,EG2,2021,W010,3月6日 (六),,,,,
99,EG2,2021,W011,3月7日 (日),,,,,
100,EG2,2021,W011,3月8日 (一),,,,,
101,EG2,2021,W011,3月9日 (二),8:30~17:30,08:25,17:33,,
102,EG2,2021,W011,3月10日 (三),8:30~17:30,08:26,17:32,,
103,EG2,2021,W011,3月11日 (四),8:30~17:30,08:20,17:40,,
104,EG2,2021,W011,3月12日 (五),8:30~17:30,08:28,17:33,,
105,EG2,2021,W011,3月13日 (六),,08:10,21:33,08:30~17:30,
106,EG2,2021,W012,3月14日 (日),,,,,
107,EG2,2021,W012,3月15日 (一),8:30~17:30,08:25,17:33,,
108,EG2,2021,W012,3月16日 (二),8:30~17:30,08:26,17:32,,
109,EG2,2021,W012,3月17日 (三),8:30~17:30,08:20,17:40,,
110,EG2,2021,W012,3月18日 (四),8:30~17:30,08:28,17:33,,
111,EG2,2021,W012,3月19日 (五),8:30~17:30,08:10,17:39,,
112,EG2,2021,W012,3月20日 (六),,,,,
113,EG2,2021,W013,3月21日 (日),,,,,
114,EG2,2021,W013,3月22日 (一),8:30~17:30,08:25,17:33,,
115,EG2,2021,W013,3月23日 (二),8:30~17:30,08:26,17:32,,
116,EG2,2021,W013,3月24日 (三),8:30~17:30,08:20,17:40,,
117,EG2,2021,W013,3月25日 (四),8:30~17:30,08:28,17:33,,
118,EG2,2021,W013,3月26日 (五),8:30~17:30,08:10,17:39,,
119,EG2,2021,W013,3月27日 (六),,,,,
120,EG2,2021,W014,3月28日 (日),,,,,
121,EG2,2021,W014,3月29日 (一),8:30~17:30,08:25,17:33,,
122,EG2,2021,W014,3月30日 (二),8:30~17:30,08:26,17:32,,
123,EG2,2021,W014,3月31日 (三),8:30~17:30,08:20,17:40,,
124,EG2,2021,W014,4月1日 (四),8:30~17:30,08:28,17:33,,
125,EG2,2021,W014,4月2日 (五),,,,,
126,EG2,2021,W014,4月3日 (六),,,,,
127,EG2,2021,W015,4月4日 (日),,,,,
128,EG2,2021,W015,4月5日 (一),,,,,
129,EG2,2021,W015,4月6日 (二),8:30~17:30,08:25,17:33,,
130,EG2,2021,W015,4月7日 (三),8:30~17:30,08:26,17:32,,
131,EG2,2021,W015,4月8日 (四),8:30~17:30,08:20,17:40,,
132,EG2,2021,W015,4月9日 (五),8:30~17:30,08:28,17:33,,
133,EG2,2021,W015,4月10日 (六),,,,,
134,EG2,2021,W016,4月11日 (日),,,,,
135,EG2,2021,W016,4月12日 (一),8:30~17:30,08:25,17:33,,
136,EG2,2021,W016,4月13日 (二),8:30~17:30,08:26,17:32,,
137,EG2,2021,W016,4月14日 (三),8:30~17:30,08:20,17:40,,
138,EG2,2021,W016,4月15日 (四),8:30~17:30,08:28,17:33,,
139,EG2,2021,W016,4月16日 (五),8:30~17:30,08:10,17:39,,
140,EG2,2021,W016,4月17日 (六),,,,,
141,EG2,2021,W017,4月18日 (日),,,,,
142,EG2,2021,W017,4月19日 (一),8:30~17:30,08:25,17:33,,
143,EG2,2021,W017,4月20日 (二),8:30~17:30,08:26,17:32,,
144,EG2,2021,W017,4月21日 (三),8:30~17:30,08:20,17:40,,
145,EG2,2021,W017,4月22日 (四),8:30~17:30,08:28,17:33,,
146,EG2,2021,W017,4月23日 (五),8:30~17:30,08:10,17:39,,
147,EG2,2021,W017,4月24日 (六),,,,,
148,EG2,2021,W018,4月25日 (日),,,,,
